RA;Dec;mag;name;type;brightness;length;width;orient
19,26.3,0;+20,08,0;052;Coathanger            ;Asterism;052;0500;1000;000
03,58.7,0;+62,55,0;049;Kemble's Cascade      ;Asterism;049;1500;0220;132
03,27.5,0;+71,51,0;066;Kemble's Kite         ;Asterism;066;0350;0900;120
01,37.0,0;+57,25,0;048;Queen's Kite          ;Asterism;048;1600;2500;075
18,35.6,0;+72,23,0;079;Little Queen          ;Asterism;079;0120;0250;060
20,55.8,0;+43,38,0;068;Mini Orion            ;Asterism;068;0400;0200;010
14,51.0,0;-26,07,0;046;Mini Scorpion         ;Asterism;046;2200;4500;050
23,02.2,0;+22,58,0;680;Delphinus Minor       ;Asterism;068;0800;0300;025
03,43.4,0;+59,41,0;059;Lion Cub              ;Asterism;059;1600;0900;060
16,28.8,0;+80,14,0;093;Mini Coathanger       ;Asterism;093;0150;0150;000
00,10.6,0;+15,19,0;083;Mini Cross            ;Asterism;083;0200;0200;000
23,45.5,0;+86,44,0;044;7 Sisters of the Pole ;Asterism;044;2000;1000;080
05,27.6,0;+34,58,0;052;Smiley Face           ;Asterism;052;0900;0900;000
19,53.5,0;+47,17,0;057;Vultus Irrisoris      ;Asterism;057;0900;0900;000
04,30.0,0;+16,02,0;034;Cookie Monster        ;Asterism;034;0620;0620;000
00,42.5,0;+52,02,0;067;Jesus Christ Crucified;Asterism;067;0500;0500;000
01,19.4,0;+58,18,0;051;ET Cluster            ;Asterism;051;0200;0200;000
02,15.6,0;+59,23,0;082;Muscle Man            ;Asterism;082;0500;0500;000
21,02.7,0;+02,00,0;065;Moustache             ;Asterism;065;1500;0600;025
17,00.5,0;+14,38,0;052;Sudor Ophiuchi        ;Asterism;052;0800;1800;050
05,43.2,0;+21,21,0;079;Spermatozoon          ;Asterism;079;1000;0200;088
20,42.4,0;+35,27,0;065;Gingerbread Heart     ;Asterism;065;0450;0450;000
10,47.7,0;+02,42,0;077;Scar                  ;Asterism;077;0300;0600;060
02,43.8,0;+88,53,0;065;Diamond Ring          ;Asterism;065;0550;0550;000
10,50.5,0;+56,08,0;075;Broken Engagement Ring;Asterism;075;0180;0180;000
18,02.5,0;+26,21,0;071;Ruby Ring             ;Asterism;071;0070;0070;000
21,07.9,0;+47,14,0;079;Horseshoe             ;Asterism;079;0150;0150;000
01,52.6,0;+37,32,0;060;Golf Putter           ;Asterism;060;0300;1200;030
19,50.1,0;-04,34,0;089;Tennis Racket         ;Asterism;089;0400;0130;105
00,07.5,0;+40,32,0;068;Home Plate            ;Asterism;068;0600;0600;000
21,09.0,0;-05,45,0;058;Fishing Rod           ;Asterism;058;0500;2300;010
18,45.5,0;-06,44,0;056;Fishing Hook          ;Asterism;056;1450;1450;000
05,18.8,0;+33,35,0;047;Flying Minnow         ;Asterism;047;0600;0600;000
16,47.7,0;+77,50,0;061;Shark                 ;Asterism;061;0600;1000;000
05,35.2,0;-04,25,0;062;Piggy                 ;Asterism;062;0150;0300;000
20,14.0,0;+36,24,0;050;Red Necked Emu        ;Asterism;050;0600;0600;000
21,52.0,0;+62,48,0;067;Eagle&Rabbit          ;Asterism;067;0800;0400;045
15,01.5,0;+33,03,0;073;Kangaroo              ;Asterism;073;1200;0700;065
09,06.0,0;+38,18,0;047;Inchworm              ;Asterism;047;0250;0550;060
17,40.2,0;-32,15,0;062;Butterfly             ;Asterism;062;0250;0250;000
05,36.5,0;+09,45,0;085;Maggie's Butterfly    ;Asterism;085;0200;0200;000
01,58.8,0;+41,31,0;067;Van Gogh's Crow       ;Asterism;067;0250;0750;040
04,22.5,0;+21,45,0;043;Davis' Dog            ;Asterism;043;2300;1200;055
03,47.5,0;+23,44,0;070;Ally's Braid          ;Asterism;070;0100;0250;080
14,14.9,0;+18,33,0;094;Napoleon's Hat        ;Asterism;094;0250;0120;060
21,43.1,0;+10,27,0;093;Wizards's Hat         ;Asterism;093;0150;0150;000
05,22.6,0;+07,05,0;076;Dunce Cap             ;Asterism;076;0200;0210;000
05,34.0,0;-00,55,0;053;Orion's S             ;Asterism;053;0800;1300;075
